lagoslakeid,lake_nhdid,lake_namelagos,lake_centroidstate,lake_missingws,lake_elevation_m,lake_waterarea_ha,lake_connectivity_class,latitude,longitude
41810,110734769,Spruce Lake,MI,N,520,32,DrainageLk,46.50527,-88.1761
35130,150569758,Fernald Pond,ME,N,511,3,Headwater,45.51573,-70.04675
468427,93073281,,OR,N,152.8,1.9,Drainage,44.02416,-122.93101
305881,{fb15ad26-e642-4c90-b9ef-f9faefd04e9b},,LA,N,0.2,11,Isolated,30.03649,-92.94873
236770,167745193,,AL,N,190.5,2.4,Drainage,32.91631,-86.00551
466888,149198950,Heather Lake,OR,N,1706.1,1.8,Isolated,43.81217,-121.95661
110945,122374078,,MA,N,164.4,2.5,Drainage,42.04057,-72.01047
316254,147441707,,ND,N,465,1.6,Isolated,47.45634,-98.74361
356472,147525580,,SD,N,538.5,1.5,Isolated,44.99882,-97.36562
82545,47723301,,MN,N,388.7,2.3,Headwater,47.24007,-93.59849
332970,143749470,,ND,N,662.8,1.6,Isolated,48.44935,-102.1923
320898,151160184,,MT,N,966.2,2.9,Drainage,47.80932,-108.68409
180721,95796059,,GA,N,83.6,2.4,Headwater,31.56886,-82.92419
212091,51893293,,FL,N,18.9,3.7,Isolated,27.87569,-82.10535
16343,37098845,,NY,N,260.6,1.9,Isolated,41.50514,-73.80991
172137,73945088,,GA,N,82.9,2,Drainage,32.55189,-82.03419
367533,148801619,Spring Creek Reservoir 8-A,NE,N,359.7,5.4,Drainage,40.39722,-96.14422
223139,129949950,,GA,N,68.5,1.1,Headwater,30.71362,-84.37277
275141,139322828,,AL,N,452.1,2.6,Drainage,34.92639,-85.66204
393544,127944374,,OK,N,192.2,1.7,Isolated,35.79416,-95.7386
455760,82734171,,UT,N,1690.1,1.4,DrainageLk,40.5142,-111.45383
104117,155281998,,IL,N,197.8,2,Isolated,40.094,-87.78574
483009,0fec620f-9aa1-4bc0-b91c-3bc4b4c61996,,CA,N,1085.9,4.6,Isolated,36.4882,-117.92843
421345,115438379,,TX,N,136.3,1.1,Headwater,31.14848,-96.12222
139730,69545221,Deer Lake,WI,N,317.6,8.3,Headwater,46.22062,-91.9479
74160,72863597,Mule Lake,MN,N,404.2,209.8,DrainageLk,46.90911,-94.27376
288931,63683151,,AR,N,83.3,1.4,Drainage,33.23321,-92.95476
32690,91675681,,WI,N,291.1,1.4,Headwater,45.86852,-92.54246
269450,26879763,,KY,N,358.7,2.9,Drainage,37.45907,-83.97896
267645,{611028c4-06b3-4284-969c-83f57a5e4450},,IN,N,151,2,DrainageLk,38.94522,-87.24342
156482,149075491,,NC,N,13.6,2.9,Drainage,34.70631,-77.98856
269404,137000153,,TN,N,539.1,6.6,Headwater,35.71099,-85.28462
195165,138375720,,FL,N,2.1,4.6,Isolated,25.69711,-80.46163
446666,69314590,,TX,N,290.7,1.2,Isolated,29.29675,-98.98637
195980,{85A43879-0C46-4A9F-8454-CCA83A998BE4},,FL,N,28.7,1.7,Isolated,28.4758,-81.44054
18564,107071088,,MN,N,423.5,9.5,Isolated,47.48869,-92.44455
424031,109725936,Horseshoe Lake,TX,N,1.5,52.7,Headwater,28.97973,-95.32793
335846,154900099,,SD,N,927.1,1.2,Drainage,44.69833,-103.89996
166830,46762611,,GA,N,177.8,1.1,Drainage,33.9771,-83.16947
67213,154314905,,IL,N,133.9,6.5,Drainage,40.61612,-89.65169
92749,145334071,,MI,N,269.3,12.8,Headwater,42.33221,-83.97947
283728,127721676,,AR,N,52.6,6,Isolated,34.12651,-91.62931
378212,148557780,,KS,N,805.8,1.3,Drainage,37.81124,-100.36138
422957,120847587,,TX,N,186,1.2,Headwater,33.0631,-96.64156
452268,90200329,Whetstone Reservoir Number 3,CO,N,2066.4,1.6,Drainage,40.41071,-107.19653
478620,66517388,,CA,N,691.4,1.5,Drainage,37.20995,-119.66809
378319,149772926,,KS,N,399.4,1,Isolated,37.72147,-97.41499
132672,41059411,,IL,N,101.3,5,Isolated,37.13211,-89.13076
468099,93052975,Ruth Lake,OR,N,1658.7,1.1,Isolated,43.46954,-122.16357000000001
62666,152117622,,OH,N,200.2,22.6,Isolated,39.62428,-82.95727
23085,115353621,,NY,N,256,5.4,Drainage,44.43218,-73.60667
435696,130013471,,TX,N,829.9,1.4,Drainage,32.45349,-101.94059
203557,68778716,,FL,N,11.5,2,Isolated,27.77167,-82.37201
426822,109724380,,TX,N,20.4,1.6,DrainageLk,29.60692,-95.58883
472941,158122536,,OR,N,1532.9,3.6,Drainage,42.5618,-119.44455
374817,39435135,,KS,N,307.8,8.8,Drainage,38.43485,-95.38991
444531,140810058,,TX,N,85.6,4.4,Drainage,27.893,-98.16846
167983,73950938,,GA,N,62.9,2,Drainage,32.23644,-82.04328
164517,142756043,,SC,N,307.9,1.1,Headwater,35.07173,-82.1704
92948,56136012,,IN,N,118.8,4.3,Drainage,37.87323,-87.05067
316053,144883776,,ND,N,355.3,2.2,Isolated,46.09596,-97.31541
208706,{BE578DE2-6A19-4121-8D9B-37B4BE02CE30},,FL,N,21.3,2.2,Isolated,28.95605,-81.999
285135,122128769,,MS,N,130.9,1.4,Headwater,34.39504,-89.41367
235120,38957810,,AL,N,30.9,2.2,Headwater,31.09376,-87.36827
72182,157076286,,WI,N,268.2,2.4,Isolated,43.56697,-90.07939
83953,{2CB9251D-B07A-43C6-A5F5-1E47CCE7224C},Fogelberg Lake,MN,N,399.7,13.8,Isolated,46.51844,-96.06383
334776,154900913,,SD,N,891.2,2.7,Drainage,44.68031,-103.20798
197337,112034043,,FL,N,23.7,3.8,Isolated,28.32264,-81.37155
225384,72200138,,GA,N,127,1.2,Isolated,31.65175,-83.75923
30059,60451795,Country Club Ponds,NJ,N,87.4,3.3,Drainage,40.9488,-74.2359
327246,104436061,,MT,N,1191.2,2.2,Drainage,45.18401,-107.60674
275048,88560919,,AL,N,169.5,13.1,Drainage,34.6161,-86.99691
451965,90413049,,CO,N,2157.9,1.3,Drainage,39.96681,-107.59854
284949,124183118,,MS,N,51.9,3.2,Drainage,34.25852,-90.08942
249750,124068972,,MS,N,56.1,2,Drainage,31.37821,-88.85764
274373,{294DFBA9-1C15-40FD-80EB-06B673DBAA96},,TN,N,553.3,1.3,Isolated,35.14838,-85.88731
5368,69884290,Wildcat Lake,WI,N,505.4,118.7,Drainage,46.17183,-89.61387
41981,135271481,,NY,N,477.8,1.8,Isolated,44.4066,-74.41289
305068,{0485c9a0-56cf-41fe-b814-6757b924f27b},,LA,N,1.6,5.8,Isolated,30.05849,-92.72579
373610,34373198,,KS,N,292.4,4.5,Drainage,39.25488,-95.13093
298663,131070192,,MS,N,64.3,1.8,Headwater,32.631,-90.39022
344799,126572815,,NE,N,1103.6,1.5,Drainage,42.78832,-103.44602
149914,{E3495FE3-7950-42E1-8C4E-2CBD8C5AC01F},,VA,N,111.5,1.4,Isolated,36.66231,-79.07247
269813,38162785,,TN,N,472.2,1.1,Isolated,36.2593,-84.59715
158083,112780358,,NC,N,311.1,1.4,Drainage,36.12671,-80.79504
150351,150404240,,NC,N,119.4,1.1,Drainage,36.42555,-78.50936
476886,146080889,,CA,N,75.7,6.3,Isolated,35.53,-119.51115
431536,95945221,,TX,N,110.1,5.1,Drainage,30.09847,-96.57836
435455,95961281,,TX,N,17.5,3,Headwater,29.40751,-95.69932
246011,131264177,,AL,N,145.7,1.3,Headwater,33.44871,-87.22584
403434,151521704,Upper Clear Boggy Creek Site 48 Reservoir,OK,N,227.5,4.7,Drainage,34.70028,-96.52234
6434,132859654,Silver Lake; SILVER LAKE  (ST. LAWRENCE),NY,N,451.6,48.7,Drainage,44.22629,-74.82671
264667,{A875C4CF-D26A-4866-B2EB-95242E8C8619},,IN,N,133.9,8.2,Drainage,39.22778,-87.56716
84728,82553944,,MN,N,434,1.6,Isolated,46.0901,-95.63644
342608,145407265,,ND,N,587.2,254.2,Isolated,47.35111,-100.22694
15709,151839556,,IL,N,115.2,1.5,Isolated,38.06985,-88.17894
340387,132148194,,ND,N,630,1.1,Isolated,47.80734,-100.93752
458922,60786975,Cabin Lake,MT,N,908,7,Isolated,48.15793,-114.07517
224515,136593122,,GA,N,202.3,1.5,Drainage,33.01448,-85.14135
126509,152840083,,OH,N,274.9,1.7,Isolated,40.26212,-84.3037
364379,154573981,North Twin Lake,NE,N,833.9,32.5,Isolated,42.32197,-100.12129
259221,{6CD6155E-273C-4CA3-86A5-D887F3F10FFC},,OH,N,327.1,3.1,Isolated,40.18535,-81.04799
125107,82553636,,MN,N,399.9,2.5,Isolated,46.12034,-95.6811
457920,81310877,Fourmile Basin Lakes,MT,N,2494.5,6.7,Headwater,46.08741,-113.23699
110605,123165678,,IN,N,238.6,6.7,Drainage,41.62918,-86.68865
258495,150995118,,IN,N,247.8,3.3,Drainage,41.26791,-85.11442
118323,123392690,,MI,N,399.9,1.2,Drainage,46.47864,-89.43
386440,33434333,,KS,N,349.9,1.1,Drainage,38.23285,-96.00842
435254,128998065,,TX,N,105.5,1.2,Drainage,30.89868,-96.57688
145175,61382833,,VA,N,55.2,1.6,Drainage,38.01234,-77.34117
276404,{8A93520B-B049-48E3-9848-F36A89360A86},,WI,N,373.6,5,Drainage,45.70139,-91.11473
257445,155638808,,IN,N,277.2,1,Drainage,41.73042,-85.31113
171996,136109450,,GA,N,123.3,1.9,Drainage,33.4167,-82.2247
269998,38162185,Newport Lake; Cooper Pond,TN,N,452.5,6.4,Drainage,36.49173,-84.56756
37742,155918133,Feller Reservoir,IN,N,286.7,2.4,Drainage,39.28448,-85.21822
417884,93978978,Long Lake,TX,N,65.5,10.9,Isolated,31.62974,-95.77359
133814,155245104,,OH,N,293.5,1.5,Headwater,40.67254,-82.05415
170214,47117998,,GA,N,94.4,2.7,Isolated,33.16261,-82.55699
421502,93966956,,TX,N,93.8,2.3,Isolated,31.79714,-95.79769
292905,152467863,,LA,N,63.8,1.2,Headwater,32.32594,-92.48638
54224,65650433,,PA,N,490.4,1.3,Drainage,41.0015,-75.95257
75631,45477591,,MO,N,266.3,1.5,Isolated,38.95577,-92.12426
393165,127956707,,OK,N,198.8,1.6,Drainage,35.70132,-95.75573
293280,151975608,,LA,N,14,1.7,Headwater,31.43246,-91.56925
323275,145003423,,MT,N,1100.4,1.1,Drainage,48.25513,-109.14304
15916,76242966,Jerry Lake,WI,N,440.1,10.6,Headwater,45.22288,-90.58951
454685,137045460,Arrowhead Tank,AZ,N,1718.8,2.8,Drainage,33.6451,-110.27888
361618,150640819,,NE,N,625.6,1.8,Isolated,40.70224,-98.84883
471643,129074403,,WA,N,133.4,1.2,Drainage,48.09536,-121.95066
458039,60176010,Lake Estelle,ID,N,1758.4,1.8,Headwater,48.3773,-116.11833
138351,142978708,Third Lake,ME,N,302.9,21.4,Drainage,47.11165,-68.82068
388215,148456088,,OK,N,210.7,6.4,Isolated,34.82553,-95.99483
470311,129462981,,WA,N,74.1,1.8,Drainage,46.77561,-122.81768
434254,95947619,,TX,N,83.9,3.4,Drainage,30.06306,-96.29896
448382,37155871,,TX,N,155.8,1,Isolated,27.21384,-99.18909
273083,90695023,Spivey Lake,NC,N,717.8,1.4,Drainage,35.54007,-82.43313
478425,153038719,,CA,N,45.5,3.4,Drainage,37.91108,-121.73573
187040,107823613,,FL,N,12.7,3,Isolated,28.91253,-81.44625
430067,97249191,,TX,N,299.8,6,Drainage,32.04029,-97.87241
448371,37153853,Jesse McNeel Lake Number 3,TX,N,126.7,12.6,DrainageLk,27.20205,-99.35767
387921,129247736,,OK,N,369.4,1.4,Isolated,35.24105,-97.6146
84443,44361246,Nugent Lake,MI,N,277,11.4,Isolated,46.5284,-86.19388
111782,90769907,Edmond Lake,MN,N,405.1,18.6,Isolated,47.67662,-93.64694
388524,129247616,,OK,N,413.7,1,Headwater,35.25324,-97.78192
356376,147525569,,SD,N,545.3,46.6,Drainage,44.99871,-97.49036
109670,121840322,,MN,N,367.6,2.1,Drainage,47.14774,-96.07892
79988,61783911,Wickham Lake,NY,N,157.9,69.7,Drainage,41.28215,-74.29476
244534,90621354,Crenshaw Pond,AL,N,31.4,2.2,Isolated,32.7576,-87.84532
307029,{088fec3e-ef03-4def-adee-25bca602a98b},,LA,N,11.7,41.5,Isolated,30.38076,-92.46417
361472,2a9802de-af2b-43d4-92d4-551fdea14c3e,,CO,N,1716.1,1.6,Drainage,39.60033,-104.80896
112604,41241033,,MN,N,203.1,7.6,Drainage,43.83281,-91.34811
262279,52940408,,KY,N,122.1,1.2,Isolated,37.45667,-87.28538
87905,91678587,,MN,N,285.6,1.8,Drainage,45.64057,-93.10807
334458,154904518,,SD,N,782.3,4.3,Drainage,44.38914,-102.88878
55198,43494946,Silver Lake,NY,N,327.6,14.2,Drainage,42.60006,-75.33068
15231,141636254,,OK,N,233.4,2.6,Isolated,36.85385,-94.87226
251508,122773650,,MS,N,121.2,1.7,Drainage,32.3029,-89.11273
265358,{c85c75d5-b51c-4630-bc6c-a147655e0b77},,IN,N,155.4,1.5,Drainage,39.45064,-87.49914
51176,155636744,,MI,N,252.8,15.3,Isolated,41.98184,-85.52978
223398,146921532,,AL,N,99.1,5.8,Headwater,31.98532,-85.46169
143637,51769997,Walton Pond,MD,N,74.7,1.3,Drainage,39.09964,-77.4325
34690,59805039,,MN,N,460.7,1.2,Isolated,47.05679,-94.86424
178817,79503260,,GA,N,151.2,1.5,Headwater,32.97028,-83.47684
28751,106351371,,MN,N,351,1.5,Drainage,48.47167,-92.85713
257256,{6af0e02f-3b5a-4b26-b793-0ab01560799f},,IN,N,288.1,3.4,Drainage,41.51587,-85.33277
31382,151873776,,MI,N,251.7,1.6,Isolated,42.19941,-83.78957
459035,59468153,,MT,N,1271.9,2.1,Isolated,46.99201,-113.03465
24026,152707981,Lake Sanford,MI,N,182.1,6.9,Isolated,42.91631,-85.75695
37057,86276557,,MN,N,414.4,6.1,Isolated,46.69904,-95.87354
454123,152740374,,CA,N,54.5,2,Isolated,32.87915,-114.47172
424405,94901039,,TX,N,4.6,1.6,Isolated,29.73379,-94.63616
172037,136107730,,GA,N,72.3,1.3,Isolated,33.56945,-82.1577
358648,143278967,,NE,N,1231.3,1.1,Isolated,41.92478,-104.036
250795,148142171,,MS,N,148.7,1.6,Drainage,32.30408,-88.68139
404744,93583735,,TX,N,165.8,3.6,Drainage,33.64458,-96.01613
77980,107074402,,MN,N,418.9,1.6,Isolated,46.8141,-92.3327
367466,148801633,Spring Creek Reservoir 9-5,NE,N,354.9,2.1,Drainage,40.39101,-96.11311
465816,51547412,,ID,N,2120.8,2.1,Drainage,44.31284,-115.24751
346532,126554600,,NE,N,1090.2,1.6,Drainage,42.97103,-102.22304
128301,69885058,Forest Wander Lake 17; Forest Wonder Lake,WI,N,485.2,2.8,Drainage,46.14683,-90.2872
280988,143705721,,AR,N,105.5,2.5,Headwater,35.8839,-90.78432
255969,151096765,,MS,N,16.3,2.1,Isolated,30.59774,-89.69657
80151,155443333,,WI,N,240.4,1.4,Isolated,43.89042,-89.21544
137042,107514470,,MN,N,437.9,2.6,Drainage,47.23824,-91.5635
279274,125010251,,TN,N,129.6,1.1,Isolated,35.71762,-88.80194
457680,60951931,,MT,N,681.8,1.9,Isolated,48.01929,-115.8142
363252,{3BC63303-431E-433D-A50F-2CB52644A4D7},,NE,N,372.8,1.2,Drainage,40.74753,-96.67116
212415,78588935,,FL,N,12.7,6.5,Isolated,27.06445,-81.78104
169283,46758159,,GA,N,259.6,1.4,Isolated,34.13659,-83.34563
127641,145331271,,MI,N,284.9,1.2,Isolated,42.60095,-83.52261
476174,130951090,Hidden Valley Lake,CA,N,336.7,39.5,Drainage,38.8107,-122.56411
376707,141679617,Goodman State Fishing Lake,KS,N,674.6,7.6,Drainage,38.38514,-99.85306
353405,148199637,,SD,N,488.6,1.9,Isolated,43.7102,-98.64606
351596,145087811,,SD,N,546.4,2.9,Isolated,45.62125,-97.49378
50291,152859194,,OH,N,210.1,1.4,Isolated,39.29183,-84.58752
340460,141672359,,ND,N,537.4,1.5,Drainage,46.45107,-100.64725
42367,109987838,Sunfish Pond,IL,N,217.5,1.9,Isolated,41.92653,-88.05866
97278,121628330,,IL,N,256.6,2.8,Isolated,42.20194,-88.09566
65000,91686207,Cranberry Lake,MN,N,274.4,8.2,Drainage,45.27361,-92.91258
372293,124487226,,NE,N,449.4,1.8,Drainage,40.58716,-97.1577
58510,{DC44EE09-D2AE-40E2-BEC7-A0DCA82CD9EC},,VT,N,194.9,1.7,Drainage,44.78467,-72.9991
120174,105466519,,MO,N,218,5.4,Headwater,38.00779,-93.9498
424662,109567639,,TX,N,62.4,1.3,Isolated,30.1944,-95.59391
211680,166403970,,FL,N,4.3,1.3,Isolated,27.09855,-82.39798
270282,54409593,,KY,N,181.1,1.6,Isolated,36.74681,-86.90983
206868,68757834,,FL,N,19.3,2.2,Isolated,28.18588,-82.47258
205464,44984371,,FL,N,5.9,1.4,Isolated,27.49312,-82.62645
427395,127148744,,TX,N,4,1.6,Isolated,29.09413,-95.42047
117930,105953683,,MN,N,389.5,1.1,Isolated,48.13253,-92.46433
57783,74924383,Goodwin Lake,WI,N,434.9,3.9,Headwater,46.13147,-91.01779
229635,130052047,,FL,N,1.9,1.6,Drainage,29.99595,-85.00063
369603,138874206,,KS,N,840.7,1,Drainage,39.51923,-100.54252
144278,{A091FA45-D5FC-45BF-88A4-4C233856A5CD},,VA,N,110.7,1.5,Drainage,37.68999,-78.47725
177099,49692399,,GA,N,163.3,3.3,Drainage,33.4164,-83.91154
317555,49980090,Lily Lake,MT,N,2186.1,5.5,Drainage,45.62459,-113.3284
279172,124396982,Pipkin Lake,TN,N,95.8,1.6,Isolated,35.42581,-89.08284
268869,{3f61c148-da6d-4d11-828f-b31a5b5d3356},,IN,N,266.5,2.2,Drainage,40.22345,-85.5572
86780,80003525,,MN,N,433.3,8.3,Isolated,47.36805,-93.17964
321688,137851444,Stink Lake,MT,N,791.8,4.1,Drainage,48.51002,-109.78135
279206,124399693,,TN,N,148.6,15.6,Drainage,35.03401,-88.98365
290783,60820355,,AR,N,222.5,1.4,Drainage,34.67394,-93.03478
267143,{86fe1b07-2a2b-4759-bda0-4ee8d66968d3},,IN,N,272.2,1.2,Drainage,40.09657,-86.52638
222662,129952508,,FL,N,32.6,2.2,Isolated,30.48701,-84.60934
335158,137356415,,SD,N,1093.5,1.9,Drainage,43.06094,-103.19978
469564,129462966,,WA,N,71,6.6,Drainage,46.7752,-122.82854
44162,90346668,Harmons Lake,IN,N,167.1,5.3,DrainageLk,39.12203,-87.16026
301885,{5fa75e37-2bb4-4f4d-ad76-91c827fee5ae},,LA,N,12.8,6.2,Drainage,31.08451,-91.78839
324250,143498949,,MT,N,654.2,1.6,Isolated,48.92747,-104.20159
425631,111779509,,TX,N,0,3,Headwater,29.69243,-93.86117
91468,122226075,,CT,N,169.1,3,DrainageLk,41.33438,-73.4882
296301,130704004,,LA,N,15.3,2.2,Isolated,31.65091,-91.47722
342716,144078158,,SD,N,943.6,1.2,Isolated,45.40264,-103.1184
33737,77358380,,WI,N,456,53.1,Isolated,45.86587,-90.36398
78304,155470245,,IN,N,165.8,14.7,Drainage,39.28065,-87.30449
103908,87820341,,MN,N,411.3,1,Isolated,46.91645,-92.4104
438511,92669365,,TX,N,321.8,1.9,Drainage,30.27358,-98.04682
449907,77942267,Beaver Lake,CO,N,2971.1,2.5,Drainage,39.56411,-106.53545
60369,123394263,Hehe Lake,MI,N,481,2.4,Drainage,46.37046,-88.88565
355512,145092358,,SD,N,553.2,1.5,Isolated,45.24056,-97.57889
217642,80533771,,GA,N,91.8,2.6,Headwater,31.39598,-83.73637
196099,{1EABD078-9772-4FAC-A606-1FAF803D98CD},,FL,N,0,1.7,Isolated,25.82573,-81.29857
50867,142806563,,ME,N,345.5,3,Drainage,46.53775,-69.15308
73377,86280207,,MN,N,421,3.2,Isolated,46.44515,-95.93278
6823,156106610,Silver Lake; Coon Lake,IL,N,127.7,109.6,DrainageLk,38.95852,-90.48193
